School,State,School_Type,SubsidizedDL,UNSubsidizedDL
AMERICAN UNIVERSITY,DC,PrivateNonprofit,6213538,4517728
CATHOLIC UNIVERSITY OF AMERICA,DC,PrivateNonprofit,3619502,3520966
UNIVERSITY OF THE DISTRICT OF COLUMBIA,DC,Public,3850272,4248284
GALLAUDET UNIVERSITY,DC,PrivateNonprofit,679602,561785
GEORGE WASHINGTON UNIVERSITY,DC,PrivateNonprofit,7463145,5913027
GEORGETOWN UNIVERSITY,DC,PrivateNonprofit,3824260,1318290
HOWARD UNIVERSITY,DC,PrivateNonprofit,9414766,9021712
STRAYER UNIVERSITY,DC,Proprietary,22490396,34840102
TRINITY COLLEGE,DC,PrivateNonprofit,2522961,2850888
WESLEY THEOLOGICAL SEMINARY,DC,PrivateNonprofit,NA,22250
CORCORAN COLLEGE OF ART AND DESIGN,DC,PrivateNonprofit,356355,360715
DOMINICAN HOUSE OF STUDIES,DC,PrivateNonprofit,NA,NA
NATIONAL CONSERVATORY OF DRAMATIC ARTS,DC,PrivateNonprofit,40812,21963
CAREER TECHNICAL INSTITUTE,DC,Proprietary,416911,685909
POTOMAC COLLEGE,DC,Proprietary,NA,NA
BENNETT CAREER INSTITUTE,DC,Proprietary,107642,88632
TECHNICAL LEARNING CENTERS,DC,Proprietary,84000,128000
INSTITUTE OF WORLD POLITICS THE,DC,PrivateNonprofit,NA,NA
PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAMILY,DC,PrivateNonprofit,NA,NA
RADIANS COLLEGE,DC,Proprietary,340038,514081
CAPITOL COLLEGE,MD,PrivateNonprofit,397211,405964
ALLEGANY COLLEGE OF MARYLAND,MD,Public,1985362,2200457
ANNE ARUNDEL COMMUNITY COLLEGE,MD,Public,3104310,3299252
BOWIE STATE UNIVERSITY,MD,Public,5013413,5617903
COMMUNITY COLLEGE OF BALTIMORE COUNTY,MD,Public,6156842,5663646
COLLEGE OF SOUTHERN MARYLAND,MD,Public,950019,1387749
NOTRE DAME OF MARYLAND UNIVERSITY,MD,PrivateNonprofit,921184,1231367
WASHINGTON ADVENTIST UNIVERSITY,MD,PrivateNonprofit,1362268,1768461
COPPIN STATE UNIVERSITY,MD,Public,4075560,2612912
FREDERICK COMMUNITY COLLEGE,MD,Public,785716,946044
FROSTBURG STATE UNIVERSITY,MD,Public,4266355,4914444
GOUCHER COLLEGE,MD,PrivateNonprofit,1426570,1079658
HAGERSTOWN COMMUNITY COLLEGE,MD,Public,2173223,1658469
HARFORD COMMUNITY COLLEGE,MD,Public,411657,499914
HOOD COLLEGE,MD,PrivateNonprofit,1954513,1812060
JOHNS HOPKINS UNIVERSITY,MD,PrivateNonprofit,3974615,2536180
LOYOLA UNIVERSITY MARYLAND,MD,PrivateNonprofit,4234858,2986646
MARYLAND INSTITUTE COLLEGE OF ART,MD,PrivateNonprofit,2043470,1607827
MORGAN STATE UNIVERSITY,MD,Public,8771888,9752653
MOUNT SAINT MARYS UNIVERSITY,MD,PrivateNonprofit,1796922,1705136
PRINCE GEORGES COMMUNITY COLLEGE,MD,Public,4278085,1571303
SALISBURY UNIVERSITY,MD,Public,6714119,7547759
ST JOHNS COLLEGE,MD,PrivateNonprofit,589510,355243
ST MARYS COLLEGE OF MARYLAND,MD,Public,1199357,1274362
TOWSON UNIVERSITY,MD,Public,13557544,16185580
UNIVERSITY OF BALTIMORE,MD,Public,3480695,3197808
UNIVERSITY OF MARYLAND COLLEGE PARK,MD,Public,15673125,16470065
UNIVERSITY OF MARYLAND BALTIMORE,MD,Public,790624,831014
UNIVERSITY OF MARYLAND  BALTIMORE COUNTY,MD,Public,7886884,9144625
UNIVERSITY OF MARYLAND  EASTERN SHORE,MD,Public,4777700,4991245
STEVENSON UNIVERSITY,MD,PrivateNonprofit,4701919,5113543
WASHINGTON COLLEGE,MD,PrivateNonprofit,1499542,1323401
MCDANIEL COLLEGE,MD,PrivateNonprofit,1987977,1803872
MONTGOMERY COLLEGE,MD,Public,5385806,4202264
INTERNATIONAL BEAUTY SCHOOL,MD,Proprietary,NA,NA
DELMARVA BEAUTY ACADEMY,MD,Proprietary,61250,68022
TESST COLLEGE OF TECHNOLOGY,MD,Proprietary,305942,439905
LINCOLN COLLEGE OF TECHNOLOGY,MD,Proprietary,587391,795882
HOWARD COMMUNITY COLLEGE,MD,Public,1562603,1825338
AWARD BEAUTY SCHOOL,MD,Proprietary,116268,115914
CECIL COLLEGE,MD,Public,730994,1233936
GARRETT COLLEGE,MD,Public,424451,425844
FORTIS INSTITUTE,MD,Proprietary,2279404,3399863
TESST COLLEGE OF TECHNOLOGY,MD,Proprietary,268744,371619
UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,MD,Public,18151752,25195382
WORWIC COMMUNITY COLLEGE,MD,Public,595801,231267
TESST COLLEGE OF TECHNOLOGY,MD,Proprietary,270825,414703
SOJOURNERDOUGLASS COLLEGE,MD,PrivateNonprofit,361594,864259
COLORLAB ACADEMY OF HAIR THE,MD,Proprietary,31723,49455
MARYLAND BEAUTY ACADEMY OF ESSEX,MD,Proprietary,50260,52483
HAIR ACADEMY,MD,Proprietary,274339,283712
MONTGOMERY BEAUTY SCHOOL,MD,Proprietary,59017,57179
BALTIMORE STUDIO OF HAIR DESIGN,MD,Proprietary,33224,37891
ROBERT PAUL ACADEMY OF COSMETOLOGY ARTS AND SCIENCES,MD,Proprietary,20573,24171
MARYLAND BEAUTY ACADEMY,MD,Proprietary,12266,5600
NORTH AMERICAN TRADE SCHOOLS,MD,Proprietary,420951,614068
LACADEMIE DE CUISINE,MD,Proprietary,107306,157442
MARYLAND UNIVERSITY OF INTEGRATIVE HEALTH,MD,PrivateNonprofit,NA,NA
BLADES SCHOOL OF HAIR DESIGN,MD,Proprietary,52234,77251
AARONS ACADEMY OF BEAUTY,MD,Proprietary,13973,19876
AESTHETICS INSTITUTE OF COSMETOLOGY,MD,Proprietary,24249,33499
CARROLL COMMUNITY COLLEGE,MD,Public,207666,416588
AMERICAN BEAUTY ACADEMY,MD,Proprietary,400537,660202
BALTIMORE SCHOOL OF MASSAGE,MD,Proprietary,231284,389641
HAIR ACADEMY II,MD,Proprietary,46285,62073
NATIONAL LABOR COLLEGE,MD,PrivateNonprofit,196352,320716
ALLSTATE CAREER,MD,Proprietary,1072935,1607727
