Sample,Species,Sex,Age,Percent C,Percent N,C:N,d13C,d15N,Percent Collagen,Area
Young woman,H. sapiens,F,18-20,41.7,14.7,3.3,-19.5,10.7,5.4,
Bu. 4,H. sapiens,I,14-18,41.9,15.4,3.2,-18.4,7,7.1,Forum II
Bu. 6,H. sapiens,M,25-35,47.3,16.1,3.4,-17.8,9.3,9.1,Forum II
Bu. 7,H. sapiens,M,25-35,40.5,14.5,3.2,-18.9,6.1,3.4,Forum II
Bu. 13,H. sapiens,F,25-45,45.9,16.8,3.2,-18.2,9.9,10.4,Forum II
Bu. 15,H. sapiens,I,13-20,42.2,15.3,3.2,-18.2,8.1,5.2,Forum II
Bu. 17,H. sapiens,I,8-12,44.5,16.4,3.2,-16.4,7.9,3.9,Forum II
Bu. 18,H. sapiens,F,35-45,44.5,16.2,3.2,-15.9,7.4,6.4,Forum II
Bu. 22,H. sapiens,I,10-15,42,14.2,3.4,-17.4,8.9,5.8,Forum II
Bu. 25,H. sapiens,I,1.5-3,44.2,16.5,3.1,-18.3,8,7.9,Forum II
Bu. 29,H. sapiens,F,14-20,41.6,14.7,3.3,-17.8,9.5,1.3,Forum II
Bu. 32,H. sapiens,M,35-45,44.6,16.1,3.2,-17.6,7.6,5.7,Forum II
Bu. 37,H. sapiens,F,I,37.3,12.5,3.5,-18.4,7.7,2.5,Forum II
Bu. 38,H. sapiens,F,30-40,48.4,17.2,3.3,-17.3,8.8,8.4,Forum II
Bu. 39,H. sapiens,M,Adult,46.3,15.6,3.5,-17.8,9.1,4.6,Forum II
Bu. 41,H. sapiens,M,17-25,44.9,16.4,3.2,-17.4,9,9.2,Forum II
Bu. 42,H. sapiens,M,30-45,44,15.8,3.2,-17.2,8,6.2,Forum II
Bu. 45,H. sapiens,I,9-14,46.1,15.5,3.5,-18.2,6.8,7.7,Forum II
Bu. 55,H. sapiens,I,10-15,45.3,15.8,3.3,-18.2,8.1,5.6,Forum II
Bu. 56,H. sapiens,F,Adult,45.5,16.3,3.2,-17.8,6.6,5.4,Forum II
Bu. 59,H. sapiens,F,35-50,43,15.1,3.3,-17.3,8.9,1.4,Forum II
Bu. 60,H. sapiens,F,18-23,47.6,16,3.5,-18.5,8,8.8,Forum II
Bu. 62,H. sapiens,I,6-12,44.4,15.8,3.3,-18.1,8.4,2.2,Forum II
Bu. 63,H. sapiens,M,18-25,43.5,15.8,3.2,-17.8,8.9,5.1,Forum II
Bu. 66,H. sapiens,F,20-30,41.8,15.4,3.2,-17.4,8.9,6.6,Forum II
Bu. 68,H. sapiens,F,45-60,47.1,16,3.4,-17.9,7.8,8.4,Forum II
Bu. 69,H. sapiens,M,35-50,39.3,14.5,3.2,-17.7,10,2.8,Forum II
Bu. 77,H. sapiens,F,30-40,34.6,15.4,3.3,-18.2,8.9,2.3,Forum II
Bu. 78,H. sapiens,F,16-23,41.8,14.4,3.4,-17.4,10,4,Forum II
Bu. 80,H. sapiens,F,18-25,42.2,15.1,3.2,-17.9,9.4,4.6,Forum II
Bu. 85,H. sapiens,F,20-30,44,15.3,3.3,-17.7,8.9,4.9,Forum II
Bu. 86,H. sapiens,M,Adult,45.5,16.6,3.2,-17.7,8.9,9.3,Forum II
Bu. 88,H. sapiens,M,25-35,49.8,17.5,3.3,-17.1,9.6,7.3,Forum II
US 13,Cervus elaphus,,,45.4,16.6,3.2,-19.9,6.7,9.5,Forum II
US 13 (2),Cervus elaphus,,,33,11.1,3.5,-20.2,4.6,5.9,Forum II
US 20,Ovis aries,,,42.8,15.2,3.3,-19.8,7.5,2.6,Forum II
US 22,Ovis aries,,,49.5,16.7,3.4,-19.8,3.9,7,Forum II
US 22 (2),Cervus elaphus,,,38.8,14.2,3.2,-20.2,4.8,5.8,Forum II
US 24,Bos taurus,,,36.6,13.4,3.2,-20,5.6,3.9,Forum II
int SW Q5,Bos taurus,,,45.1,15.4,3.4,-19.4,5.4,4.2,Forum II
int N5,Cervus elaphus,,,47.7,16.8,3.3,-20.6,3.4,4.8,Forum II
Bu. 22,H. sapiens,I,7.5-9.5,45.7,16.3,3.3,-18.6,7.3,3.6,IX D North
Bu. 23,H. sapiens,F,25-40,51.5,17.5,3.4,-18.1,9.8,10.1,IX D North
Bu. 28,H. sapiens,I,8-10,49.3,17.3,3.3,-18.3,8.2,4.8,IX D North
Bu. 31,H. sapiens,M,20-30,46.6,16.5,3.3,-17.4,10.6,5.9,IX D North
