Sp.,SPECIES,Locomotor_category,Family,DVHSP,DVHSP.sd,CCLSP,CCLSP.sd,MLLTP,MLLTP.sd,DVOTP,DVOTP.sd,DVHVB,DVHVB.sd,MLWVB,MLWVB.sd,CCLVB,CCLVB.sd
AC,Arctocebus calabarensis,Antipronograde,Lorisidae,0.68,,1.45,,0.64,,106.9,,0.79,,1.39,,1.46,
LT,Loris tardigradus,Antipronograde,Lorisidae,0.42,0.08,1.8,0.47,0.57,0.06,112.44,10.21,0.99,0.03,1.4,0.05,1.69,0.25
NC,Nycticebus coucang,Antipronograde,Lorisidae,0.68,0.19,1.11,0.28,0.64,0.13,95.43,8.58,1.05,0.04,1.37,0.11,1.55,0.05
PP,Perodicticus potto,Antipronograde,Lorisidae,0.58,0.12,1.47,0.16,0.69,0.13,101.85,4.37,0.93,0.06,1.27,0.13,1.52,0.11
CD,Caluromys derbianus,Antipronograde,Caluromyidae,1.15,0.18,2.7,0.44,1.33,0.35,108.1,7.71,1.19,0.11,1.79,0.18,3.12,0.21
CL,Caluromys lanatus,Antipronograde,Caluromyidae,1.31,0.25,3.28,0.78,1.22,0.04,104,1.98,1.34,0.34,2.03,0.05,3.85,0.03
CP,Caluromys philander,Antipronograde,Caluromyidae,1.33,0.34,3.04,0.44,1.37,0.33,97.03,6.29,1.33,0.16,2.03,0.24,3.46,0.37
CI,Caluromysiops irrupta,Antipronograde,Caluromyidae,0.74,0.04,2.94,0.49,1.16,0.03,105.15,5.02,1.19,0,1.81,0.04,2.74,0.15
CDi,Cyclopes didactylus,Antipronograde,Cyclopedidae,0.56,0.19,1.33,0.22,0.65,0.12,98.63,2.95,1.04,0.18,1.5,0.28,1.45,0.12
CM,Cheirogaleus major,Pronograde,Cheirogaleidae,0.6,0.08,0.89,0.05,1.15,0.1,121.85,1.06,0.94,0.08,1.02,0.06,1.71,0.02
MM,Microcebus murinus,Pronograde,Cheirogaleidae,0.87,0.06,0.64,0.06,1.23,0.13,115.53,3.32,0.74,0.06,1.12,0.03,1.77,0.05
