"group" "sex" "feedingrate"
"1" "A" "male" 57.9177200969448
"2" "A" "male" 47.4844837469824
"3" "A" "male" 53.9240110112397
"4" "A" "male" 45.8648003054889
"5" "A" "male" 50.0474619780241
"6" "A" "male" 25.7432985558032
"7" "A" "male" 51.1797061085852
"8" "A" "male" 45.4151502310554
"9" "A" "male" 42.8847769369456
"10" "A" "male" 42.4622075023211
"11" "A" "male" 32.5831165420122
"12" "A" "male" 39.5096139774893
"13" "A" "male" 48.8468786989485
"14" "A" "male" 33.2090577532185
"15" "A" "male" 58.1856953119515
"16" "A" "male" 36.7428076299533
"17" "A" "male" 49.2688822803117
"18" "A" "male" 49.9945835246522
"19" "A" "male" 30.7176198883354
"20" "A" "male" 50.0890878534288
"21" "B" "male" 45.0931766327481
"22" "B" "male" 33.9245794958495
"23" "B" "male" 32.1556905705237
"24" "B" "male" 34.5900205497107
"25" "B" "male" 22.5767340762851
"26" "B" "male" 39.0195165101904
"27" "B" "male" 39.3214228978144
"28" "B" "male" 46.5703198185184
"29" "B" "male" 35.9337135465333
"30" "B" "male" 45.6274890742535
"31" "B" "male" 32.0317714896471
"32" "B" "male" 50.8889084345484
"33" "B" "male" 46.0703291617824
"34" "B" "male" 37.5629966561749
"35" "B" "male" 43.4741301710642
"36" "B" "male" 31.0898233398516
"37" "B" "male" 38.7833229593038
"38" "B" "male" 49.750909028146
"39" "B" "male" 56.3587272054854
"40" "B" "male" 43.0359000353559
"41" "C" "male" 44.5460250983164
"42" "C" "male" 44.7359294058584
"43" "C" "male" 38.1561547749033
"44" "C" "male" 39.0023561372543
"45" "C" "male" 54.7365050660896
"46" "C" "male" 50.1442111350841
"47" "C" "male" 49.2140602393378
"48" "C" "male" 45.5955854903009
"49" "C" "male" 50.701173407244
"50" "C" "male" 45.5479248004745
"51" "C" "male" 36.7992427366702
"52" "C" "male" 50.1469720157306
"53" "C" "male" 41.1690783129564
"54" "C" "male" 49.4128479671755
"55" "C" "male" 57.3897910084172
"56" "C" "male" 45.6001090926201
"57" "C" "male" 41.2526491410829
"58" "C" "male" 39.7141856302515
"59" "C" "male" 49.5071942913557
"60" "C" "male" 53.6638293448682
"61" "A" "female" 44.0036008786561
"62" "A" "female" 52.5457636486267
"63" "A" "female" 52.1810501584629
"64" "A" "female" 44.8741182796103
"65" "A" "female" 50.5903436728461
"66" "A" "female" 46.7273924396799
"67" "A" "female" 44.8351501754381
"68" "A" "female" 60.0057471891759
"69" "A" "female" 54.6576113359638
"70" "A" "female" 49.186126066412
"71" "A" "female" 45.905001187402
"72" "A" "female" 37.9364133175006
"73" "A" "female" 52.7088364980501
"74" "A" "female" 48.9941205829
"75" "A" "female" 46.9491420658983
"76" "A" "female" 39.8030943884877
"77" "A" "female" 50.2716963091225
"78" "A" "female" 42.3654195431842
"79" "A" "female" 45.6160095130036
"80" "A" "female" 48.8698411594304
"81" "B" "female" 52.6105924910251
"82" "B" "female" 53.3201650449705
"83" "B" "female" 57.7997663654358
"84" "B" "female" 47.2076203145024
"85" "B" "female" 59.7203392435269
"86" "B" "female" 54.5501890263075
"87" "B" "female" 58.0171638780419
"88" "B" "female" 52.9539222281231
"89" "B" "female" 55.488670554015
"90" "B" "female" 56.8533508817015
"91" "B" "female" 58.63124860068
"92" "B" "female" 52.2606168395657
"93" "B" "female" 60.1857483228144
"94" "B" "female" 63.4346393453193
"95" "B" "female" 61.8750939083138
"96" "B" "female" 50.5466612473536
"97" "B" "female" 62.7964336438241
"98" "B" "female" 78.9438399760097
"99" "B" "female" 52.7267397753296
"100" "B" "female" 64.5933005675584
"101" "C" "female" 50.697168412222
"102" "C" "female" 51.3626870233757
"103" "C" "female" 45.8920596948267
"104" "C" "female" 64.4408918919817
"105" "C" "female" 54.1787275177685
"106" "C" "female" 62.5313016882472
"107" "C" "female" 71.1537728478401
"108" "C" "female" 56.0178005866426
"109" "C" "female" 66.1911058410085
"110" "C" "female" 62.9087515047747
"111" "C" "female" 51.8763865994557
"112" "C" "female" 51.6091680639764
"113" "C" "female" 51.7759632079969
"114" "C" "female" 54.0856029355471
"115" "C" "female" 44.4280581464591
"116" "C" "female" 53.3147685106431
"117" "C" "female" 52.3212918269594
"118" "C" "female" 55.2265994152464
"119" "C" "female" 51.158366211175
"120" "C" "female" 65.9244164888217
