OPE ID,School,State,Zip Code,School Type,SubsidizedDL_value,Subsidized_DL_Recipients,UNSubsidizedDL_value,UNSubsidized_DL_Recipients
100200, ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY , AL ,357621357,Public,5924800.00,443,7404538.00,152
100300, FAULKNER UNIVERSITY , AL ,361093398,Private-Nonprofit,2428480.00,789,3505883.00,193
100400, UNIVERSITY OF MONTEVALLO , AL ,351156000,Public,2558549.00,104,2737269.00,34
100500, ALABAMA STATE UNIVERSITY , AL ,361045714,Public,7222897.00,400,8567000.00,77
100700, CENTRAL ALABAMA COMMUNITY COLLEGE , AL ,350100000,Public,1116724.00,143,1067290.00, -   
100800, ATHENS STATE UNIVERSITY , AL ,356111999,Public,2554579.00,227,2988198.00, -   
100900, AUBURN UNIVERSITY , AL ,368495113,Public,11129422.00,448,10706547.00,134
101200, BIRMINGHAM SOUTHERN COLLEGE , AL ,352540002,Private-Nonprofit,911659.00,8,1015651.00, -   
101300, CALHOUN COMMUNITY COLLEGE , AL ,356710000,Public,4756028.00,615,4403654.00, -   
101500, ENTERPRISE STATE COMMUNITY COLLEGE , AL ,363311300,Public,602652.00,80,540206.00, -   
101600, UNIVERSITY OF NORTH ALABAMA , AL ,356320001,Public,4621838.00,280,4893828.00,63
101900, HUNTINGDON COLLEGE , AL ,361062148,Private-Nonprofit,1253145.00,67,1644297.00, -   
102000, JACKSONVILLE STATE UNIVERSITY , AL ,362651602,Public,8308726.00,509,8303689.00,153
102200, JEFFERSON STATE COMMUNITY COLLEGE , AL ,352153098,Public,2475965.00,188,1053124.00, -   
102300, JUDSON COLLEGE , AL ,367562504,Private-Nonprofit,389589.00,17,376185.00, -   
102400, UNIVERSITY OF WEST ALABAMA , AL ,354700000,Public,2353622.00,153,2488822.00,385
102600, MARION MILITARY INSTITUTE , AL ,367563214,Public,213294.00,27,412528.00, -   
102800, MILES COLLEGE , AL ,350642697,Private-Nonprofit,2661086.00,210,3192537.00, -   
102900, UNIVERSITY OF MOBILE , AL ,366630220,Private-Nonprofit,1807836.00,94,2293066.00,25
103100, NORTHEAST ALABAMA COMMUNITY COLLEGE , AL ,359860159,Public,404075.00,66,165525.00, -   
103300, OAKWOOD UNIVERSITY , AL ,358960001,Private-Nonprofit,2630681.00,103,2908549.00,1
103600, SAMFORD UNIVERSITY , AL ,352297000,Private-Nonprofit,1571299.00,83,1918026.00,85
103800, SNEAD STATE COMMUNITY COLLEGE , AL ,359570734,Public,826346.00,43,249810.00, -   
104000, SOUTHERN UNION STATE COMMUNITY COLLEGE , AL ,362760000,Public,1507663.00,199,1204373.00, -   
104100, SPRING HILL COLLEGE , AL ,366081791,Private-Nonprofit,1470054.00,79,1704359.00,16
104400, STILLMAN COLLEGE , AL ,354011430,Private-Nonprofit,1428563.00,70,1594772.00, -   
104600, TALLADEGA COLLEGE , AL ,351602354,Private-Nonprofit,1048263.00,59,1149994.00, -   
104700, TROY UNIVERSITY , AL ,360820001,Public,15901984.00,"1,162",21372963.00,488
105000, TUSKEGEE UNIVERSITY , AL ,360881645,Private-Nonprofit,3964654.00,179,4269735.00,20
105100, UNIVERSITY OF ALABAMA , AL ,354870120,Public,2705157.00,645,3123515.00,147
105200, UNIVERSITY OF ALABAMA AT BIRMINGHAM , AL ,352941150,Public,9859803.00,514,10630850.00,367
105500, UNIVERSITY OF ALABAMA IN HUNTSVILLE , AL ,358990001,Public,4611833.00,383,5163041.00,72
105700, UNIVERSITY OF SOUTH ALABAMA , AL ,366880002,Public,10681191.00,636,12543782.00,351
106000, JAMES H. FAULKNER STATE COMMUNITY COLLEGE , AL ,365072698,Public,2097942.00,232,2081087.00, -   
106100, ALASKA PACIFIC UNIVERSITY , AK ,995084672,Private-Nonprofit,332121.00,28,412990.00,28
106300, UNIVERSITY OF ALASKA FAIRBANKS , AK ,997757500,Public,3596157.00,281,4622412.00,51
106500, UNIVERSITY OF ALASKA SOUTHEAST , AK ,998018680,Public,907137.00,93,1228836.00,21
107000, THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT , AZ ,853066000,Private-Nonprofit, $-   , -   , $-   ,150
107100, ARIZONA WESTERN COLLEGE , AZ ,853658847,Public,482116.00,69,311375.00, -   
107200, COCHISE COLLEGE , AZ ,856076190,Public,385102.00,52,381940.00, -   
107400, GRAND CANYON UNIVERSITY , AZ ,850173030,Proprietary,30585357.00,"7,039",45185790.00,"6,368"
107600, GLENDALE COMMUNITY COLLEGE , AZ ,853023090,Public,6848237.00,149,1920025.00, -   
107700, MESA COMMUNITY COLLEGE , AZ ,852024866,Public,7733743.00,378,3677906.00, -   
107800, PHOENIX COLLEGE , AZ ,850134234,Public,5785974.00,474,5386897.00, -   
107900, YAVAPAI COLLEGE , AZ ,863013297,Public,1969786.00,174,1435436.00, -   
108100, ARIZONA STATE UNIVERSITY , AZ ,852870412,Public,58999874.00,"2,953",65020180.00,796
108200, NORTHERN ARIZONA UNIVERSITY , AZ ,860110001,Public,20393568.00,"1,142",22090622.00,276
108300, UNIVERSITY OF ARIZONA (THE) , AZ ,857210066,Public,22739681.00,491,20409246.00,311
108500, UNIVERSITY OF ARKANSAS AT MONTICELLO , AR ,716560000,Public,2821272.00,270,2683040.00,17
108600, UNIVERSITY OF ARKANSAS AT PINE BLUFF , AR ,716012790,Public,3137847.00,222,3058289.00,15
108700, ARKANSAS BAPTIST COLLEGE , AR ,722026099,Private-Nonprofit,970668.00,6,1243303.00, -   
108800, LYON COLLEGE , AR ,725013699,Private-Nonprofit,580394.00,12,611986.00, -   
108900, ARKANSAS TECH UNIVERSITY , AR ,728012222,Public,7938570.00,607,7112181.00,98
109000, ARKANSAS STATE UNIVERSITY , AR ,724010000,Public,10679744.00,573,10517944.00,474
109100, ARKANSAS STATE UNIVERSITY - BEEBE , AR ,720121000,Public,621744.00,61,574073.00, -   
109200, UNIVERSITY OF CENTRAL ARKANSAS , AR ,720350001,Public,7022310.00,501,8432748.00,188
109300, CENTRAL BAPTIST COLLEGE , AR ,720346470,Private-Nonprofit,780718.00,47,928595.00, -   
109400, UNIVERSITY OF THE OZARKS , AR ,728302880,Private-Nonprofit,452632.00,30,374771.00, -   
109500, CROWLEY'S RIDGE COLLEGE , AR ,724509775,Private-Nonprofit,171884.00,5,158856.00, -   
109700, HARDING UNIVERSITY , AR ,721490001,Private-Nonprofit,3904373.00,298,4332556.00,289
109800, HENDERSON STATE UNIVERSITY , AR ,719990001,Public,3123178.00,235,3040490.00,64
109900, HENDRIX COLLEGE , AR ,720323080,Private-Nonprofit,992057.00,42,1169966.00,1
110000, JOHN BROWN UNIVERSITY , AR ,727612747,Private-Nonprofit,1573439.00,54,1500672.00,39
110100, UNIVERSITY OF ARKANSAS AT LITTLE ROCK , AR ,722041099,Public,8348339.00,709,8493509.00,169
110200, OUACHITA BAPTIST UNIVERSITY , AR ,719980001,Private-Nonprofit,980906.00,52,1326345.00, -   
110300, PHILANDER SMITH COLLEGE , AR ,722023718,Private-Nonprofit,941749.00,34,1157708.00,1
110400, PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS , AR ,723420000,Public,51122.00, -   ,2753.00, -   
110500, SHORTER COLLEGE , AR ,721144885,Private-Nonprofit,614568.00,150,970080.00, -   
110600, WILLIAMS BAPTIST COLLEGE , AR ,724764661,Private-Nonprofit,505496.00,40,358969.00, -   
110700, SOUTHERN ARKANSAS UNIVERSITY , AR ,717535000,Public,2326011.00,242,2279766.00,89
110800, UNIVERSITY OF ARKANSAS , AR ,727010000,Public,12787423.00,648,15898573.00,197
110900, UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES , AR ,722057102,Public,782502.00,31,855556.00,68
111000, UNIVERSITY OF ARKANSAS AT FORT SMITH , AR ,729047397,Public,4003762.00,271,2599656.00, -   
111100, ALLAN HANCOCK COLLEGE , CA ,934546399,Public,263414.00,34,265225.00, -   
111300, ANTELOPE VALLEY COLLEGE , CA ,935365426,Public,3333984.00,360,3301896.00, -   
111600, ART CENTER COLLEGE OF DESIGN , CA ,911031999,Private-Nonprofit,1818684.00,314,1631233.00,29
111700, AZUSA PACIFIC UNIVERSITY , CA ,917027000,Private-Nonprofit,9724423.00,837,9182911.00,282
111800, BAKERSFIELD COLLEGE , CA ,933051299,Public,947927.00,111,852101.00, -   
112000, AMERICAN BAPTIST SEMINARY OF THE WEST , CA ,947043029,Private-Nonprofit, $-   , -   , $-   ,3
112200, BIOLA UNIVERSITY , CA ,906390001,Private-Nonprofit,5297206.00,142,3623228.00,90
112300, BROOKS INSTITUTE , CA ,931031809,Proprietary,559927.00,127,623643.00,3
112400, CABRILLO COLLEGE , CA ,950033194,Public,823396.00,68,762209.00, -   
112500, CALIFORNIA BAPTIST UNIVERSITY , CA ,925043297,Private-Nonprofit,9411370.00,599,9479601.00,234
112700, CALIFORNIA COLLEGE OF THE ARTS , CA ,941072206,Private-Nonprofit,1644863.00,123,1408747.00,69
113100, CALIFORNIA INSTITUTE OF TECHNOLOGY , CA ,911250001,Private-Nonprofit,9526.00,5,69660.00, -   
