Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Homo sapiens,Primates,1250.43,65142.86,5.72,1.149154428,12.63364989,Sherwood/this study; Nowak 1991,
Phocoena phocoena,Cetartiodactyla,1735.00,142430.00,4.43,0.973299292,10.96298008,Crile & Quiring 1940; Silva & Downing 1995,
Lagenorhynchus obliquidens,Cetartiodactyla,1136.75,89750.00,4.10,0.853433486,9.476202198,Ridgway et al. 1966,
Stenella coeruleoalba,Cetartiodactyla,883.75,63500.00,4.12,0.825369972,9.066824761,Pilleri & Busnel 1969; Silva & Downing 1995,
Tursiops truncatus,Cetartiodactyla,1573.00,170480.00,3.51,0.787791638,8.92306003,Marino 2000; Ridgway et al. 1966,
Delphinus delphis,Cetartiodactyla,797.26,65086.96,3.65,0.733086517,8.059240507,Marino 2000; Pilleri & Busnel 1969; Silva & Downing 1995,
Stenella longirostris,Cetartiodactyla,450.00,33600.00,3.38,0.628003246,6.763928026,Marino 2004,
Phocoenoides dalli,Cetartiodactyla,833.67,98333.33,2.81,0.590837042,6.579032179,Ridgway et al. 1966,
Ateles paniscus,Primates,108.96,3430.00,4.48,0.641750127,6.439922677,Bronson 1981; Warncke 1908,
Cebus albifrons,Primates,62.95,1620.00,4.53,0.595197665,5.835482299,Bronson 1981,
Orcinus orca,Cetartiodactyla,6052.00,3273000.00,1.49,0.469718266,5.830708723,Ridgway et al. 1987,
Macaca nigra,Primates,97.50,3452.00,3.99,0.571941234,5.740532418,Hrdlicka 1925,
Delphinapterus leucas,Cetartiodactyla,1921.00,498250.00,1.93,0.488998551,5.725969242,Marino 2001; Ridgway et al. 1987; Silva & Downing 1995,
Pseudorca crassidens,Cetartiodactyla,4307.00,2000000.00,1.53,0.456136056,5.576309942,Ridgway et al. 1987; Silva & Downing 1995,
Macaca nemestrina,Primates,110.00,4456.00,3.72,0.549259698,5.556682802,Spitzka 1903; Warncke 1908; Silva & Downing 1995,
Cebus capucinus,Primates,70.14,2104.88,4.16,0.562145138,5.556342978,Crile & Quiring 1940; Hrdlicka 1925; Silva & Downing 1995,
Elephas maximus,Proboscidea,5211.25,2765457.50,1.46,0.449838267,5.554842445,Shoshani 2006; Tower 1954; Silva & Downing 1995,
Macaca assamensis,Primates,90.50,3655.00,3.55,0.512077979,5.148801877,Warncke 1908,
Cebus apella,Primates,71.30,2589.00,3.62,0.501493554,4.988764701,Bronson 1981; Rilling 1999; Warncke 1908; Silva & Downing 1995,
Cebus olivaceus,Primates,72.50,2684.50,3.58,0.80248886,4.96375105,Warncke 1908; Rowe 1996,
Lagothrix lagotricha,Primates,89.35,3905.00,3.34,0.484898835,4.885533148,Crile & Quiring 1940; Warncke 1908,
Helarctos malayanus,Carnivora,385.50,45020.00,2.32,0.447295961,4.861509271,Count 1947,
Macaca sinica,Primates,58.15,1970.00,3.62,0.485971711,4.793580375,Warncke 1908,
Theropithecus gelada,Primates,130.00,7710.00,2.92,0.459284193,4.726076594,Hrdlicka 1925,
Cercocebus agilis,Primates,95.30,4700.00,3.10,0.460117351,4.662557667,Sherwood/this study; Silva & Downing 1995,
Mandrillus sphinx,Primates,159.20,11500.00,2.66,0.437030941,4.553175492,Sherwood/this study; Silva & Downing 1995,
Ateles geoffroyi,Primates,104.96,5774.00,2.93,0.445053045,4.538769511,Bronson 1981; Crile & Quiring 1940; Hrdlicka 1925; Stephan 1981; Silva & Downing 1995,
Lophocebus albigena,Primates,96.80,5125.00,2.95,0.442514987,4.496235661,Stephan 1981; Warncke 1908; Silva & Downing 1995,
Pan paniscus,Primates,329.70,39700.00,2.18,0.414146222,4.483702419,Rilling 1999; Sherwood/this study; Silva & Downing 1995,
Loxodonta africana,Proboscidea,5436.40,4301340.00,1.09,0.355121431,4.445689945,Crile & Quiring 1940; Robertson-Bullock 1962; Shoshani 2006; Silva & Downing 1995,
Cercopithecus cephus,Primates,76.00,3508.33,3.08,0.441290334,4.431422034,Warncke 1908; Silva & Downing 1995,
Macaca mulatta,Primates,87.99,4612.78,2.90,0.429895638,4.353779681,Bronson 1981; Crile & Quiring 1940; Hrdlicka 1925; Rilling 1999; Stephan 1981; Silva & Downing 1995,
Ursus americanus,Carnivora,248.00,25990.00,2.25,0.406984976,4.348684931,Spitzka 1903; Silva & Downing 1995,
Semnopithecus entellus,Primates,111.50,7010.00,2.69,0.418308083,4.29174675,Warncke 1908,
Cercopithecus mona,Primates,67.00,3001.00,3.05,0.429328203,4.290473617,Spitzka 1903; Silva & Downing 1995,
Macaca fascicularis,Primates,66.93,3109.45,2.96,0.419361781,4.195489425,Bronson 1981; Hrdlicka 1925; Warncke 1908; Silva & Downing 1995,
Hylobates lar,Primates,93.99,5550.00,2.70,0.408621034,4.162117842,Rilling 1999; Stephan 1981; Silva & Downing 1995,
Hylobates muelleri,Primates,95.31,5954.88,2.60,0.396346181,4.045910781,Hrdlicka 1925; Sherwood/this study; Rowe 1996,
Saimiri sciureus,Primates,23.35,578.70,3.62,0.422648902,4.013621135,Bronson 1981; Rilling 1999; Warncke 1908; Silva & Downing 1995,
Papio hamadryas,Primates,142.00,12020.00,2.29,0.379086295,3.954901706,Hrdlicka 1925,
Hylobates agilis,Primates,88.10,5528.75,2.54,0.383926209,3.910117132,Hrdlicka 1925,
Pongo pygmaeus,Primates,341.99,54229.04,1.80,0.352843763,3.857129378,Hrdlicka 1925; Rilling 1999; Sherwood/this study; Silva & Downing 1995,
Chlorocebus aethiops,Primates,64.13,3452.67,2.63,0.376164395,3.775557182,Bronson 1981; Warncke 1908,
Saimiri oerstedii,Primates,22.45,605.00,3.37,0.395182917,3.757968634,Crile & Quiring 1940,
Ateles fusciceps,Primates,113.60,9026.50,2.27,0.363341544,3.757134391,Crile & Quiring 1940,
Aotus lemurinus,Primates,113.50,9026.50,2.27,0.363021701,3.753827054,Crile & Quiring 1940,
