Taxon,Delta.C13
T. brumpti,-7.2
T. brumpti,-4.2
T. brumpti,-3
T. brumpti,-3.2
T. brumpti,-2.3
T. brumpti,-3.6
T. brumpti,-3.4
T. brumpti,-4.9
T. brumpti,-3.1
T. brumpti,-1
T. brumpti,-5.7
T. brumpti,-1.6
T. brumpti,-2.4
T. brumpti,-3.5
T. brumpti,-4.2
T. oswaldi EA,1.8
T. oswaldi EA,0.7
T. oswaldi EA,0.9
T. oswaldi EA,-2.4
T. oswaldi EA,0.1
T. oswaldi EA,1.7
T. oswaldi EA,-0.3
T. oswaldi EA,-0.8
T. oswaldi EA,0.4
T. oswaldi EA,1.5
T. oswaldi EA,-1.9
T. oswaldi EA,-0.9
T. oswaldi EA,-2.5
T. oswaldi EA,-1.1
T. oswaldi EA,-0.9
T. oswaldi EA,0.1
T. oswaldi EA,-0.3
T. oswaldi EA,-3
T. oswaldi EA,-1
T. oswaldi EA,-0.7
T. oswaldi EA,-1.9
T. oswaldi EA,-2.7
T. oswaldi EA,-3
T. oswaldi EA,-0.8
T. oswaldi EA,-1.9
T. oswaldi EA,-1.2
T. oswaldi EA,-0.6
T. oswaldi EA,2.4
T. oswaldi EA,-1
T. oswaldi SA,-4
T. oswaldi SA,-2.8
T. oswaldi SA,-0.3
T. oswaldi SA,-0.4
T. oswaldi SA,-3.7
T. oswaldi SA,-5.3
T. oswaldi SA,-2.6
T. oswaldi SA,-2.4
T. oswaldi SA,-1.6
T. oswaldi SA,-1.3
T. oswaldi SA,-1.1
Papio sp.,-15.5
Papio sp.,-2.5
Papio sp.,-5.2
Papio sp.,-3.3
Papio sp.,-9.2
Papio sp.,-9.6
Papio sp.,-7.4
Papio sp.,-10.8
Papio sp.,-10.9
Papio sp.,-12.9
Papio sp.,-12.5
Papio sp.,-10.5
Papio sp.,-9.6
Papio sp.,-12.4
Papio sp.,-12.3
Papio sp.,-12.8
Papio sp.,-9.3
Papio sp.,-11.5
Papio sp.,-4.7
Papio sp.,-10.4
Papio sp.,-10.1
Papio sp.,-10.4
Papio sp.,-10.2
Papio sp.,-10.3
P. boisei,-1.3
P. boisei,0
P. boisei,-0.1
P. boisei,-1.5
P. boisei,-0.5
P. boisei,-0.1
P. boisei,-1.9
P. boisei,-3.4
P. boisei,-1.9
P. boisei,0.7
P. boisei,-0.6
P. boisei,0.2
P. boisei,-2.3
P. boisei,-2.3
P. boisei,-1.1
P. boisei,-1.2
P. boisei,-1.3
P. boisei,-1.6
P. boisei,-1.6
P. boisei,-1.3
P. boisei,-2.2
P. boisei,-1.9
P. boisei,-1.8
P. boisei,-2.1
P. boisei,-1.2
P. boisei,-0.7
P. robustus,-6.3
P. robustus,-6.7
P. robustus,-6.5
P. robustus,-6.7
P. robustus,-6.8
P. robustus,-8.5
P. robustus,-8.1
P. robustus,-8.8
P. robustus,-5.9
P. robustus,-6.9
P. robustus,-7.3
P. robustus,-6.1
P. robustus,-7
P. robustus,-8.1
P. robustus,-7.4
P. robustus,-8.6
P. robustus,-5.4
P. robustus,-10
P. robustus,-8.1
P. robustus,-9.6
P. robustus,-7.9
P. robustus,-7.9
