Taxon	SSFB	TOTB	SSFL	ISFB	MOL	SPL	ISFL	PSSFB	PISFB	GFL	GFB
D	28.68	64.78	44.56	39.0	52.0	51.28	53.1	21.5	38.0	17.6	11.8
G	158.5	264.64	149.35	127.6	181.74	248.65	216.7	92.7	134.48	61.28	38.46
G	121.11	211.76	117.54	120.33	148.11	188.34	161.1	82.79	120.22	54.81	32.72
G	95.53	207.02	90.62	119.31	127.12	174.22	171.81	71.09	103.87	43.01	30.17
G	93.44	185.94	94.94	103.81	130.95	178.62	161.84	70.63	103.16	44.12	28.93
G	98.1	199.82	95.56	111.39	136.39	175.58	169.92	75.59	109.86	49.13	30.16
G	106.66	189.04	103.29	95.38	137.23	187.09	157.8	81.91	94.8	40.38	28.34
G	98.2	183.51	98.7	92.85	133.35	181.72	167.39	73.45	90.16	46.32	29.2
G	136.88	265.06	125.35	138.15	174.71	243.25	225.54	101.13	120.58	59.77	38.67
G	129.29	256.21	121.53	137.18	181.34	238.66	216.64	100.64	136.55	59.54	35.74
G	135.47	261.07	128.64	139.59	179.1	235.7	220.07	95.07	142.35	52.92	38.58
G	136.74	249.74	136.38	128.5	184.16	246.46	220.94	94.53	132.36	59.38	40.39
G	26.28	52.15	30.86	32.31	46.68	51.49	45.75	20.04	31.01	15.97	9.4
G	37.92	64.69	36.33	40.14	50.78	54.86	46.99	21.26	38.68	18.72	10.93
G	30.71	53.68	31.76	31.4	48.67	54.48	46.06	20.56	30.5	15.4	9.09
G	38.01	64.33	34.46	34.91	49.73	60.79	52.19	24.69	34.6	17.42	10.8
G	36.66	62.06	34.28	35.93	46.25	54.54	44.48	22.13	35.76	16.55	9.96
G	83.75	146.77	82.32	80.03	107.46	131.82	115.83	54.26	79.39	36.04	25.23
G	87.45	149.38	77.05	87.32	108.92	129.62	113.39	58.01	86.88	33.91	25.15
G	70.46	128.12	71.89	75.7	100.67	121.59	107.0	46.24	75.13	29.5	23.08
G	43.34	82.28	43.72	51.03	61.54	69.83	60.86	31.44	50.17	21.01	13.87
G	54.19	94.23	55.39	50.2	74.77	85.86	80.33	37.58	49.0	20.99	16.39
G	60.71	117.0	60.71	64.57	87.92	103.12	97.68	47.5	61.77	24.59	18.82
G	61.95	110.4	64.25	57.27	91.1	108.1	105.96	41.52	58.31	29.28	18.94
G	92.92	170.6	85.47	90.45	108.6	134.43	126.06	64.8	88.33	36.89	25.97
G	40.54	73.26	41.18	40.11	57.48	66.79	60.58	29.5	39.66	20.17	12.18
G	50.78	91.46	46.49	50.14	63.45	78.18	70.59	32.65	50.11	20.82	14.76
G	74.26	133.36	74.22	75.52	98.78	122.94	112.36	50.47	72.37	34.61	21.69
G	63.38	111.88	61.1	61.7	87.87	104.58	94.93	46.82	61.48	26.68	17.86
G	71.34	144.35	74.97	79.97	104.62	129.45	126.58	54.2	78.93	29.95	22.53
G	59.61	103.21	61.41	56.2	84.87	99.74	91.88	40.65	55.43	26.82	17.98
G	53.14	97.61	53.52	52.41	77.57	88.22	87.23	37.38	50.79	22.31	16.63
G	57.68	110.49	56.14	62.17	78.65	93.71	87.02	44.94	62.3	27.53	19.44
G	44.96	81.24	46.72	44.46	63.46	77.33	66.69	32.76	43.13	23.33	14.15
G	73.33	127.55	71.21	75.14	95.84	113.21	95.83	50.93	74.97	28.97	20.46
G	62.0	110.07	63.63	62.75	84.96	94.57	87.48	39.51	61.28	28.53	18.31
G	55.17	100.86	56.71	54.16	83.13	92.11	84.74	41.18	53.51	23.91	17.84
G	60.41	92.77	55.49	47.1	72.01	78.83	68.48	36.69	46.58	21.47	15.59
G	77.36	137.34	73.22	73.34	93.9	115.43	109.02	57.01	72.51	32.43	22.28
G	78.87	152.93	73.87	85.99	102.74	122.48	129.95	55.98	85.32	32.72	25.22
G	80.8	151.82	86.4	88.71	120.82	145.24	128.56	59.64	88.18	37.71	26.46
G	49.26	83.5	49.26	46.42	67.34	75.52	65.62	32.09	46.94	22.93	15.64
G	76.39	139.51	77.1	79.33	106.69	128.3	113.53	52.44	79.92	31.57	21.87
G	60.39	121.28	64.91	72.47	94.21	109.74	104.43	46.56	71.5	29.87	20.71
G	66.83	120.81	63.66	65.66	95.67	111.94	107.07	45.78	62.69	27.28	20.99
G	55.74	101.9	53.31	56.85	72.46	88.12	81.65	37.82	54.98	22.5	16.94
G	77.56	148.69	83.67	81.52	111.08	136.98	131.03	56.49	81.16	34.58	23.55
G	91.8	177.95	94.64	105.32	130.72	172.0	163.53	69.83	105.09	43.09	27.22
G	69.64	124.15	68.11	66.45	90.61	108.46	105.23	48.91	65.6	27.45	21.92
G	61.22	115.38	60.79	63.0	85.13	101.19	95.55	45.79	63.13	27.5	18.86
G	89.84	145.33	87.85	72.13	110.77	131.8	117.08	56.44	72.18	34.68	25.02
G	59.24	108.09	56.27	62.19	80.07	92.18	79.73	42.11	61.41	23.9	17.77
G	59.18	116.5	59.35	64.97	83.18	99.42	97.79	43.0	64.39	29.19	19.13
G	53.74	96.38	52.85	54.86	72.05	78.97	75.77	36.71	54.42	22.28	15.24
G	34.62	61.01	34.89	35.49	45.84	53.2	47.5	20.67	35.55	15.65	9.85
H	49.93	160.12	71.15	121.02	97.15	134.52	134.41	42.35	123.01	39.29	26.9
H	36.94	122.48	65.71	94.19	95.98	125.01	124.58	30.86	92.2	33.16	24.76
H	46.64	142.11	74.25	107.03	102.41	139.32	125.62	40.28	107.22	32.98	24.25
H	44.62	134.5	65.18	105.66	86.51	119.27	112.42	36.34	103.38	33.56	21.62
H	53.69	168.16	78.03	131.02	107.82	151.8	146.61	49.87	131.42	42.55	31.11
H	52.85	145.56	73.06	104.67	98.0	135.44	124.3	50.8	100.12	36.95	22.3
H	51.34	155.87	70.15	123.03	96.81	130.8	129.06	42.85	123.49	36.92	28.91
H	47.89	148.59	67.64	113.57	97.83	124.86	127.87	38.06	108.94	35.26	25.13
H	54.52	152.15	76.07	110.36	108.12	137.64	140.2	51.22	109.84	36.62	26.56
H	45.33	148.33	72.31	111.67	101.93	130.43	133.06	43.55	109.37	38.59	25.22
H	33.77	123.08	54.87	98.1	81.95	102.84	102.92	31.37	97.9	32.05	22.31
H	28.29	74.94	40.3	56.85	56.52	65.72	52.93	20.27	57.63	23.37	13.96
H	12.29	33.74	19.91	28.71	26.08	28.26	21.03	9.08	28.05	9.77	6.74
H	12.95	34.57	20.11	29.3	27.17	30.58	21.74	10.28	27.91	10.0	6.66
H	21.47	74.36	39.74	60.06	51.26	61.22	56.02	16.66	62.51	19.59	11.92
H	27.83	90.06	44.51	71.325	62.35	80.81	66.36	24.07	70.13	25.28	15.88
H	55.81	151.39	77.63	114.31	101.57	129.79	131.67	47.69	112.95	40.36	27.7
