Specimen,Species,GOL,BBH,XCB,BNL,BPL,ASB
LB1,H. floresiensis,143,89,113,81,88,97
KNM-ER 406,P. boisei,163,103,144,109,135,94
OH 5,P. boisei,173,98,142,113,137,89
Sts 5,A. africanus,146,101,111,99,127,90
KNM-ER 1813,H. habilis,149,90,113,84,105,90
OH 24,H. habilis,145,89,120,71,92,90
D2700,H. erectus,155,101,126,92,100,105
KNM-ER 3733,H. erectus,182,108,142,103,120,124
Sangiran 17,H. erectus,206,110,161,112,118,142
La Chapelle,H. neanderthalensis,210,129,153,121.4,126.5,116.4
La Ferrassie,H. neanderthalensis,208,141,159,124,119,124
Shanidar 1,H. neanderthalensis,207.2,135,154,116.4,117.1,118.2
Kabwe,H. sapiens (African),206,131,147,120,118,129
Minatogawa 1,H. sapiens (Asian),182,132,148,101,102,115
Minatogawa 4,H. sapiens (Asian),176,133,138,95,100,107
ZUC 101,H. sapiens (Asian),206,133,144,109,107,122
Abri Pataud,H. sapiens (European),182,131,138,97,100,108
Cro-Magnon 1,H. sapiens (European),203,132,151,100,99,107
Dolni Vestonice,H. sapiens (European),187,130,132,106,107,105
Gibraltar,H. sapiens (European),190,117,146,106,108,110
Kaufertsberg,H. sapiens (European),184,139,142,98,97,116
Mladec 1,H. sapiens (European),203,143,145,105,110,112
Oberkassel 1,H. sapiens (European),195,136,140,102,86,118
Oberkassel 2,H. sapiens (European),181,132,126,95,87,105
Ofnet 13,H. sapiens (European),186,135,130,104,95,110
Ofnet 24,H. sapiens (European),184,131,140,100,95,114
Ofnet 6,H. sapiens (European),183,137,140,97,92,106
Qafzeh 6,H. sapiens (European),195,130,144,116,115,107
Skhul 4,H. sapiens (European),206,128,148,110,105,132
Skhul 5,H. sapiens (European),193,128,146,96,110,116
Skhul 9,H. sapiens (European),213,130,145,115,106,120
