Species	Infraorder	Family	Distribution	Body mass male (Kg)	Geographic range size (log km2)	Diet	Interaction	Fleshy fruits	Dry Fruits	Seeds	Flowers	Leaves	Gum	Bark	Nectar	Fungi	Vertebrates	Insects	Main References
Daubentonia_madagascariensis	Chiromyiformes 	Daubentoniidae	Madagascar	2.7	5.046502	Faunivore	Antagonism	0	0	1	0	0	1	0	1	1	0	1	"13, 213, 221, 348, 405"
Allocebus_trichotis	Lemuriformes	Cheirogaleidae	Madagascar	0.1	3.000975	Faunivore	Antagonism	0	0	0	0	0	0	0	0	0	0	1	"13, 62"
Avahi_laniger	Lemuriformes	Indridae	America	1.03	4.952581	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13,213,  153, 183, 194, 428"
Avahi_occidentalis	Lemuriformes	Indridae	Madagascar	0.814	3.439009933	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13, 428, 429, 460"
Avahi_unicolor	Lemuriformes	Indridae	America	0.83	3.359094844	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13, 428"
Cheirogaleus_adipicaudatus	Lemuriformes	Cheirogaleidae	Madagascar	0.2	1.567978651	Frugivore	Mutualism	1	0	0	1	0	1	0	0	0	0	1	"13, 32"
Cheirogaleus_crossleyi	Lemuriformes	Cheirogaleidae	Madagascar	0.4	1.567978651	Frugivore	Mutualism	1	0	0	1	0	1	0	0	0	0	1	"13, 32"
Cheirogaleus_major	Lemuriformes	Cheirogaleidae	Madagascar	0.45	5.037816	Frugivore	Mutualism	1	0	0	1	1	1	0	1	0	0	1	"13, 251, 252, 481"
Cheirogaleus_medius	Lemuriformes	Cheirogaleidae	Madagascar	0.217	5.168104	Frugivore	Mutualism	1	0	0	1	0	1	0	0	0	0	1	"13, 159, 252, 317"
Cheirogaleus_minusculus	Lemuriformes	Cheirogaleidae	Madagascar		1.113943352	Frugivore	Mutualism	1	0	0	1	0	1	0	0	0	0	1	"13, 32"
Cheirogaleus_ravus	Lemuriformes	Cheirogaleidae	Madagascar	0.468	3.079407382	Frugivore	Mutualism	1	0	0	1	0	1	0	0	0	0	1	"13, 32"
Cheirogaleus_sibreei	Lemuriformes	Cheirogaleidae	Madagascar		1.567978651	Frugivore	Mutualism	1	0	0	1	0	1	0	0	0	0	1	"13, 32"
Eulemur_albifrons	Lemuriformes	Lemuridae	Madagascar	2.3	4.674935139	Frugivore	Mutualism	1	0	0	1	1	0	0	0	0	0	0	"13, 450"
Eulemur_albocollaris	Lemuriformes	Lemuridae	Madagascar	2.25	3.62306509	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"13, 224"
Eulemur_cinereiceps	Lemuriformes	Lemuridae	Madagascar	2.25	3.62306509	Frugivore	Mutualism	1	1	0	1	1	0	0	1	1	0	0	"13, 366"
Eulemur_collaris	Lemuriformes	Lemuridae	Madagascar	2.25	4.230244755	Frugivore	Mutualism	1	0	0	1	1	0	0	0	0	0	0	"13, 135"
Eulemur_coronatus	Lemuriformes	Lemuridae	Madagascar	1.28	3.821791	Frugivore	Mutualism	1	0	1	1	0	0	0	0	0	0	0	"13, 32, 183"
Eulemur_fulvus	Lemuriformes	Lemuridae	Madagascar	2.37	5.372223	Frugivore	Mutualism	1	0	1	1	1	0	0	0	0	0	0	"13, 83, 183, 224, 333, 367"
Eulemur_macaco	Lemuriformes	Lemuridae	Madagascar	1.88	3.969452	Frugivore	Mutualism	1	0	0	1	0	0	0	1	0	0	1	"13, 63, 64, 183"
Eulemur_mongoz	Lemuriformes	Lemuridae	Madagascar	1.41	4.32123	Frugivore	Mutualism	1	0	0	1	0	0	0	0	0	0	0	"13, 108, 183"
Eulemur_rubriventer	Lemuriformes	Lemuridae	Madagascar	2	4.781582	Frugivore	Mutualism	1	0	1	1	1	0	0	0	0	0	0	"13, 183, 333"
Eulemur_rufus	Lemuriformes	Lemuridae	Madagascar	2.2	5.063981164	Frugivore	Mutualism	1	0	1	1	0	0	0	0	0	0	0	"13, 32"
Eulemur_sanfordi	Lemuriformes	Lemuridae	Madagascar	2.37	3.632120052	Frugivore	Mutualism	1	0	1	1	0	0	0	0	0	0	0	"13, 32"
Hapalemur_alaotrensis	Lemuriformes	Lemuridae	Madagascar	1.2	2.200834089	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13, 32, 183"
Hapalemur_aureus	Lemuriformes	Lemuridae	Madagascar	1.55	3.000975	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13, 32"
Hapalemur_griseus	Lemuriformes	Lemuridae	Madagascar	0.935	5.059531	Folivore	Antagonism	1	0	0	1	1	0	0	0	0	0	0	"13, 32, 83, 84, 183"
Hapalemur_occidentalis	Lemuriformes	Lemuridae	Madagascar	1	4.414641103	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13, 32"
Indri_indri	Lemuriformes	Indridae	Madagascar	6.8	4.573121	Folivore	Antagonism	1	0	0	1	1	0	0	0	0	0	0	"13, 183, 356"
Lemur_catta	Lemuriformes	Lemuridae	Madagascar	2.2	5.098617	Folivore	Mutualism	1	1	1	1	1	0	0	1	0	0	1	"13, 32, 84, 132, 172, 183, 225"
Lepilemur_ankaranensis	Lemuriformes	Lepilemuridae	Madagascar	0.75	3.042049158	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 428"
Lepilemur_dorsalis	Lemuriformes	Lepilemuridae	Madagascar	0.55	3.756647	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 428"
Lepilemur_edwardsi	Lemuriformes	Lepilemuridae	Madagascar	0.908	4.729467	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 428, 460"
Lepilemur_leucopus	Lemuriformes	Lepilemuridae	Madagascar	0.617	4.54272	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 183, 428"
Lepilemur_microdon	Lemuriformes	Lepilemuridae	Madagascar	0.97	4.781582	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 428"
Lepilemur_mustelinus	Lemuriformes	Lepilemuridae	Madagascar	0.65	4.620893	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 428"
Lepilemur_ruficaudatus	Lemuriformes	Lepilemuridae	Madagascar	0.771	4.76421	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 183"
Lepilemur_septentrionalis	Lemuriformes	Lepilemuridae	Madagascar	0.75	3.383154	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 428"
Microcebus_berthae	Lemuriformes	Cheirogaleidae	Madagascar	0.033	2.954242509	Frugivore	Mutualism	1	0	0	1	0	1	0	1	0	0	1	"13, 32, 111, 112, 172"
Microcebus_griseorufus	Lemuriformes	Cheirogaleidae	Madagascar	0.055	4.422648185	Frugivore	Antagonism	0	0	0	0	0	1	0	1	0	0	0	"13, 32, 181"
Microcebus_murinus	Lemuriformes	Cheirogaleidae	Madagascar	0.06	5.224563	Gumnivore	Mutualism	1	0	0	1	0	1	0	1	0	0	1	"13, 32, 111, 112, 252, 365, 431"
Microcebus_myoxinus	Lemuriformes	Cheirogaleidae	Madagascar	0.031	3.731015344	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32"
Microcebus_ravelobensis	Lemuriformes	Cheirogaleidae	Madagascar	0.056	3.406705351	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32, 431"
Microcebus_rufus	Lemuriformes	Cheirogaleidae	Madagascar	0.042	5.076902	Frugivore	Mutualism	1	0	0	1	1	1	0	1	0	0	1	"13, 32, 51, 317, 365, 481"
Microcebus_sambiranensis	Lemuriformes	Cheirogaleidae	Madagascar	0.0441	3.470600986	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32"
Microcebus_tavaratra	Lemuriformes	Cheirogaleidae	Madagascar	0.0611	3.143564663	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32"
Mirza_coquereli	Lemuriformes	Cheirogaleidae	Madagascar	0.304	4.58615	Faunivore	Antagonism	1	0	0	1	1	1	0	1	0	0	1	"13, 32, 335"
