HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)
4	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	captivity	large	acceptable	0.05	0.04	NA	NA	NA
5	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	mellifera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	812	unknown	medium	acceptable	NA	NA	NA	NA	NA
7	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	niger	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	411	unknown	medium	acceptable	NA	NA	NA	NA	NA
8	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	anynana	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	811	wild	medium	acceptable	NA	NA	NA	NA	NA
9	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	americanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	wild	medium	acceptable	NA	NA	NA	NA	NA
11	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	brevirostrum	5657	NA	13	NA	120000	NA	NA	NA	NA	9325	NA	67	454	wild	medium	acceptable	NA	NA	NA	NA	NA
12	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	dabryanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	454	wild	medium	acceptable	NA	NA	NA	NA	NA
13	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	fulvescens	9490	2920	6	NA	350000	NA	NA	NA	NA	70000	NA	152	1	wild	medium	acceptable	0.013	10	NA	NA	NA
14	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	gueldenstaedtii	5110	4380	NA	NA	NA	NA	NA	NA	NA	63250	NA	46	454	wild	medium	acceptable	NA	NA	NA	NA	NA
15	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	oxyrinchus	NA	NA	NA	NA	NA	NA	NA	NA	NA	202400	NA	60	22	wild	medium	acceptable	NA	NA	NA	NA	NA
16	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	ruthenus	2129	1460	NA	NA	NA	NA	NA	NA	NA	8800	NA	46.1	1	captivity	medium	acceptable	NA	NA	NA	NA	NA
17	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	schrenckii	4562	3285	NA	NA	NA	NA	NA	NA	NA	104500	NA	60	454	wild	medium	acceptable	NA	NA	NA	NA	NA
