individual	Taxon	Habitat	ACF	APD	B	DistRad	DMTD	DTArea	LML	MIN	MML	PMTD	ProxRad	PTArea	WAF	WAT
AMNH81690	Aepyceros_melampus	LC	384.72	6.89	15.16	9.22	1.78	553.14	35.78	28.04	34.39	6.33	10	915.5	21.39	21.83
AMNH82050	Aepyceros_melampus	LC	NA	6.09	14	8.73	1.64	558.17	35.46	27.28	33.18	6.54	10.5	841.79	22.47	21.11
AMNH83534	Aepyceros_melampus	LC	NA	6.14	17.22	9.19	1.7	554	39.15	29.99	36.94	7.63	10.65	976.25	22.07	21.54
AMNH85150	Aepyceros_melampus	LC	NA	5.8	15.27	8.85	1.72	498.67	36.61	28.02	34.09	6.97	10	841.71	22.55	21.03
AMNH233038	Alcelaphus_buselaphus	O	607.83	7.46	18.47	11.33	2.26	900.76	45.25	36.03	43.55	6.83	13.85	1557.05	28.98	27.07
AMNH34717	Alcelaphus_buselaphus	O	465.91	6.56	15.47	9.79	1.78	649.47	36.81	30.8	35.95	4.28	10.91	1139.5	24.04	25.84
AMNH34725	Alcelaphus_buselaphus	O	727.85	8.11	18.48	13.53	3.03	1267.33	50.48	39.8	47.71	7.69	16.14	1765.78	31.37	31.66
AMNH82033	Alcelaphus_buselaphus	O	662.8	7.57	15.97	12.12	3.07	1015.48	45.01	35.54	42.3	6.56	14.26	1372.77	28.7	29.39
AMNH82159	Alcelaphus_buselaphus	O	733.39	7.59	18.13	13.13	2.76	1051.47	48.56	37.24	46.06	8.61	15	1762.3	31.41	32.21
AMNH88406	Beatragus_hunteri	O	561.05	7.81	15.07	11.5	2.13	766.58	42.22	32.56	39.69	7.8	13.32	1343.08	27.92	28.04
AMNH88407	Beatragus_hunteri	O	568.98	7.6	15.62	11	2.23	747.09	41.99	31.86	38.5	7.95	12	1158.33	27.35	26.42
AMNH88408	Beatragus_hunteri	O	539.23	7.9	15.76	11.1	2.13	767.03	42.13	32.06	38.83	7.77	12.15	1259.46	27.77	27.73
AMNH81716	Connochaetes_gnou	O	666.87	7.18	18.8	11.78	2.16	884.39	45.01	36.63	43.55	6.35	13.2	1400.92	30.08	30.09
AMNH81720	Connochaetes_gnou	O	720.09	8.51	18.74	12.5	2.11	975.93	47.21	36.64	44.8	8.2	13.88	1558.15	29.73	29.36
AMNH81722	Connochaetes_gnou	O	NA	7.89	19.05	13	2.52	1279.99	50.11	39.94	47.61	8.3	15.5	1841.1	33.3	32.91
AMNH27824	Connochaetes_taurinus	O	830.43	10.04	22.12	13.65	2.86	1168.62	53.56	41.78	50.93	8.91	15.32	2176.18	33.75	33.52
AMNH54133	Connochaetes_taurinus	O	920.67	11.09	22.41	14.74	2.27	1437.42	55.8	45.55	53.61	7.95	16.77	2322.19	36.02	36.28
AMNH83502	Connochaetes_taurinus	O	934.64	9.51	20.55	14	3.08	1300.37	54.38	42.84	51.58	8.46	17.34	2315.56	34.14	35.32
AMNH83503	Connochaetes_taurinus	O	843.81	9.02	18.92	14.5	2.6	1385.45	51.98	41.55	49.21	7.83	15.84	2068.94	33.96	34.65
AMNH113781	Damaliscus_lunatus	O	NA	7.56	19.18	12.19	2.39	984.22	48.57	37.33	46.13	8.91	14.88	1634.64	33.76	31.23
AMNH34729	Damaliscus_lunatus	O	689.95	11.54	19.21	12.5	3.7	1124.34	49.17	37.13	45.56	8.29	13.85	1467.76	30.31	31.07
AMNH34730	Damaliscus_lunatus	O	770.87	13.27	20.27	12.78	2.46	1084.13	51.08	40.66	48.72	8.04	15.79	1769.59	32.41	31.72
AMNH82035	Damaliscus_lunatus	O	763.1	8.69	18.77	12	2.52	1029.66	46.56	36.19	44.12	7.64	13.63	1534.64	28.78	30.18
AMNH42953	Damaliscus_pygargus	O	428.02	6.47	14.8	9.5	1.81	575.67	36.23	28.38	34.52	6.06	10.5	946.73	22.5	23.01
AMNH81727	Damaliscus_pygargus	O	422.62	5.89	15.06	10.5	1.97	686.85	38.14	29.84	36.55	6.41	11.24	974.27	23.64	24.26
AMNH81729	Damaliscus_pygargus	O	393.01	6.69	14.81	9.6	1.86	651.2	36.81	29.69	35.51	5.28	11.07	974.33	22.79	23.75
AMNH81787	Damaliscus_pygargus	O	428.4	5.73	14.49	10.14	2.34	668.74	37.44	29.43	35.44	5.7	11	961.07	22.77	23.96
AMNH17276	Sigmoceros_lichtensteinii	O	810.75	7.22	18.44	13.31	2.43	1311.7	51.83	40.85	47.63	8.55	16.09	1848.67	33.94	32.59
AMNH216382	Sigmoceros_lichtensteinii	O	NA	6.9	20.31	13.5	3.18	1130.59	52.89	39.73	48.63	9.87	14.82	NA	31.27	33.68
AMNH216383	Sigmoceros_lichtensteinii	O	NA	7.75	19.4	13.75	3	1141.29	51.81	39.69	47.71	9.15	14.72	1842.76	32.28	32.99
AMNH81740	Antidorcas_marsupialis	O	NA	3.98	11.78	7.72	1.29	416.43	30.66	23.72	28.52	5.71	9	651.28	20.03	19.13
AMNH81745	Antidorcas_marsupialis	O	253.21	6.12	12.78	7.61	1.81	414.86	30.55	23.83	28.69	5.03	8.43	605.17	18.3	18.55
AMNH83549	Antidorcas_marsupialis	O	NA	5.08	11.94	7.32	1.65	350.41	31.02	24.06	28.2	5.48	9.06	613.04	18.41	18.21
AMNH83550	Antidorcas_marsupialis	O	NA	4.07	11.86	7.42	1.28	377.72	28.7	23.61	27.46	3.85	8.16	557.37	18.72	18.59
AMNH35527	Antilope_cervicapra	O	298	5.5	13.03	8.37	1.5	463.99	32.49	25.98	30.83	4.91	9.5	729.66	19.93	20.19
AMNH35957	Antilope_cervicapra	O	247.31	5.61	13.31	7.83	1.6	428.49	32.5	25.43	30.6	5.44	9.5	671.99	18.84	18.32
AMNH54486	Antilope_cervicapra	O	323.46	5.04	14.52	7.8	1.68	482.38	33.9	27.03	31.75	5.22	9.63	756.46	20.09	19.54
AMNH81997	Eudorcas_thomsonii	O	203.17	3.56	10.77	6.5	1.58	298.57	26.33	20.29	24.61	4.47	7.34	464.71	15.88	16.05
AMNH82059	Eudorcas_thomsonii	O	NA	4.63	10.21	6.21	1.32	255.73	25.74	19.6	23.54	4.89	7.17	429.5	15.14	15.01
AMNH82060	Eudorcas_thomsonii	O	NA	4.4	9.76	6.25	1.58	263.93	26.05	19.64	23.68	4.82	7.67	462.36	16.19	16.05
AMNH88415	Eudorcas_thomsonii	O	NA	4.68	10.59	6.09	1.57	218.75	25.58	19.47	23.3	4.71	6.71	384.13	14.5	14.21
AMNH54506	Gazella_gazella	O	188.86	3.21	10.38	5.77	1.15	253.23	24.71	18.85	22.5	4.59	6.4	356.57	15.55	14.04
AMNH54997	Gazella_gazella	O	181.68	3.58	10.46	6.27	1.45	252.81	24.95	19.53	23.13	4.11	6.57	380.63	15.35	14.97
AMNH54998	Gazella_gazella	O	160.95	4.68	9.91	5.88	1.31	247.24	23.76	18.23	22.25	4.29	6.7	356.71	14.37	14.08
AMNH81170	Litocranius_walleri	LC	NA	5.51	14.24	9	2.35	502.91	35.07	26.57	32.23	6.08	9	713.32	21.56	21.66
NMNH164031	Litocranius_walleri	LC	289.1	NA	14.24	7.23	1.93	NA	32.21	25.11	30	5.1	8.5	NA	19.53	18.41
NMNH164033	Litocranius_walleri	LC	284.68	4.97	13.56	7.84	1.91	427.83	32.33	25	29.73	5.36	8.5	683.43	20.42	18.99
