sex	rank	bodysize
female	low	57.7801564987906
male	veryhigh	59.1542910934479
male	low	61.4015712847108
female	veryhigh	53.345626715794
female	high	54.321176683514
female	high	56.3673721327315
female	veryhigh	54.2672340474534
male	verylow	56.1525398925802
female	verylow	47.4922934579528
female	low	56.5548172788705
female	veryhigh	55.2189435314434
male	low	54.4169749139115
female	high	52.4264232616783
female	verylow	53.2407022445792
female	verylow	47.4527580852934
female	high	49.935874548644
female	low	51.3631434728876
male	high	57.7315555159661
male	high	58.7710975387971
female	veryhigh	58.6128605100301
female	high	53.4779067695418
male	veryhigh	61.0706503731599
female	veryhigh	56.2401537452979
male	veryhigh	54.7085628579838
female	veryhigh	51.1009926943062
female	high	58.2100496031667
male	high	57.3419493437369
female	high	60.3974732754613
female	veryhigh	49.4995902710178
male	high	57.6684709580564
female	veryhigh	57.2971310583049
male	verylow	55.970513813281
male	veryhigh	56.7938632644426
male	verylow	58.4371514310161
male	verylow	54.1652876850784
male	veryhigh	62.1705239705648
male	veryhigh	60.1025433116113
male	high	60.5425438442632
female	veryhigh	51.2115386020416
female	high	55.5847100033899
male	low	59.2682204667606
male	veryhigh	56.9015649081177
male	high	62.2630785051957
female	high	58.3170650354947
male	low	52.1140661452614
female	high	51.3088203996229
female	low	46.3456716509319
female	veryhigh	55.0824937147625
female	low	49.2777500421221
male	low	51.0573148914925
female	low	52.7570201172853
female	veryhigh	56.9269427954508
female	verylow	49.9591916768776
female	verylow	49.4542103053544
male	low	57.1945067699903
male	high	60.8606716409564
male	high	58.7805367731523
male	verylow	48.8495968695052
male	low	56.8639121527272
male	low	57.0858362575342
male	high	52.9397769282988
female	high	57.7415094067751
male	verylow	49.6894213538684
male	low	56.668507596356
female	low	50.3184387007521
female	high	52.4756113133884
female	veryhigh	52.183500735448
male	veryhigh	63.9069481527194
female	low	50.0415493339992
male	high	60.5176408584278
female	veryhigh	53.1652141244222
male	low	54.8848490859109
male	low	54.4542981251082
female	veryhigh	53.9746941691712
female	veryhigh	57.051756341736
male	verylow	57.3950274007489
male	low	53.6005875732594
male	low	56.6888907346713
female	verylow	56.0806437917788
male	high	55.6945870909259
male	high	53.3705418322861
male	low	52.0381972803979
female	verylow	48.9725354862873
female	low	50.8989837221475
male	veryhigh	57.4583834571432
female	high	51.1222381108175
female	high	53.6350089828421
male	low	57.9978114533562
female	veryhigh	58.7161594570463
female	low	55.5518223476263
male	low	60.4950844738912
female	veryhigh	54.132686933937
female	high	59.7710616554157
female	verylow	52.5555373516636
male	verylow	56.4297728700611
female	verylow	51.9078112396379
male	low	58.4636981296061
female	veryhigh	56.1777377808964
female	verylow	46.6786472283447
female	verylow	48.393307549389
