AMNH	Subfamily	Tribe	Species	Hab	BM	LL	LI	LM	WI	WD	TP	TI	TD	BinindaEmondsSpecies	FernandezVrbaTaxon
85150	Alcelaphinae	Aepycerotini	Aepceryos melampus suara	L	56.25	36.5	28.2	34	21	20.9	13.6	19	16.2	Aepyceros_melampus	Aepyceros_melampus
216391	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	40.9	31.2	38	23.4	22.5	15.2	20.6	18.1	Aepyceros_melampus	Aepyceros_melampus
216392	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	37	29.3	34.5	22.1	21.4	13.4	19.9	17.7	Aepyceros_melampus	Aepyceros_melampus
216393	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	36.2	27.3	33.1	21.3	20.9	13.2	18.1	15.1	Aepyceros_melampus	Aepyceros_melampus
216394	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	36.6	29.2	35.5	21.1	21.4	13.7	18.5	16.3	Aepyceros_melampus	Aepyceros_melampus
83534	Alcelaphinae	Aepycerotini	Aepyceros melampus melampus	L	56.25	37.7	29.8	35.7	22.4	21.3	13.7	18.4	16.3	Aepyceros_melampus	Aepyceros_melampus
82046	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	37.3	28.5	35.1	21.5	22.3	12.9	19.7	17.1	Aepyceros_melampus	Aepyceros_melampus
82047	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	39	29.4	35.8	22.9	23.6	13.9	20.4	17	Aepyceros_melampus	Aepyceros_melampus
82048	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	37.7	29.3	35.3	22.3	22.5	14.5	19	16.7	Aepyceros_melampus	Aepyceros_melampus
82050	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	35.3	27.2	33.4	20.6	21	13.5	18.4	14.8	Aepyceros_melampus	Aepyceros_melampus
233038	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus caama	O	161	45.3	36.3	42.7	27.1	27.3	18.9	22.8	22	Alcelaphus_buselaphus	Alcelaphus_buselaphus
83513	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus caama	O	161	47.7	39.3	45.5	34.3	31.2	21.4	25.9	24.2	Alcelaphus_buselaphus	Alcelaphus_buselaphus
82031	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus cokii	O	161	48.4	38.2	45.4	30.3	30.7	21	25.2	23.3	Alcelaphus_buselaphus	Alcelaphus_buselaphus
