individual	species	length
1	Tragelaphus scriptus	312.0595
2	Tragelaphus scriptus	302.2681
3	Tragelaphus scriptus	300.0172
4	Tragelaphus scriptus	307.9196
5	Tragelaphus scriptus	295.2123
6	Tragelaphus scriptus	318.7464
7	Tragelaphus scriptus	288.5817
8	Tragelaphus scriptus	301.3035
9	Tragelaphus scriptus	306.9294
10	Tragelaphus scriptus	293.8721
11	Rhabdomys pumilio	22.48733
12	Rhabdomys pumilio	11.19424
13	Rhabdomys pumilio	19.52257
14	Rhabdomys pumilio	18.70722
15	Rhabdomys pumilio	21.03788
16	Rhabdomys pumilio	17.77769
17	Rhabdomys pumilio	11.02444
18	Rhabdomys pumilio	22.80425
19	Rhabdomys pumilio	18.07251
20	Rhabdomys pumilio	22.15981
21	Rhabdomys pumilio	24.3063
22	Rhabdomys pumilio	25.3479
23	Australopithecus afarensis	358.1192
24	Australopithecus afarensis	328.736
25	Australopithecus afarensis	346.0973
26	Australopithecus afarensis	333.7456
27	Australopithecus afarensis	348.0808
28	Australopithecus afarensis	345.1564
29	Australopithecus afarensis	322.3606
30	Australopithecus afarensis	367.8674
31	Australopithecus afarensis	360.8744
32	Australopithecus afarensis	383.0259
33	Australopithecus afarensis	333.9432
34	Australopithecus afarensis	351.2605
35	Australopithecus afarensis	329.1536
36	Australopithecus afarensis	379.7829
37	Australopithecus afarensis	402.7466
38	Australopithecus afarensis	346.5312
39	Australopithecus afarensis	358.6318
40	Australopithecus afarensis	375.3785
