specimen	skull
_0_f1	235.18
_0_f2	238.968
_0_f3	235.168
_0_f4	242.873
_0_f5	229.244
_0_f6	240.477
_0_f7	242.761
_0_f8	240.322
_0_f9	237.948
_0_f10	224.605
_0_f11	243.091
_0_f12	240.709
_0_f13	241.155
_0_f14	231.046
_0_f15	228.324
_0_f16	228.183
_0_f17	246.153
_0_f18	228.614
_0_f19	236.424
_0_f20	243.491
_0_f21	229.924
_0_f22	236.198
_0_f23	238.134
_0_f24	238.7
_0_f25	244.689
_0_f26	227.045
_0_f27	232.538
_0_f28	245.203
_0_f29	240.91
_0_f30	245.259
_1_m1	270.137
_1_m2	273.371
_1_m3	292.082
_1_m4	276.194
_1_m5	282.821
_1_m6	261.352
_1_m7	267.413
_1_m8	286.614
_1_m9	288.243
_1_m10	287.369
_1_m11	275.07
_1_m12	302.074
_1_m13	280.033
_1_m14	276.853
_1_m15	273.564
_1_m16	287.93
_1_m17	273.241
_1_m18	271.774
_1_m19	287.89
_1_m20	296.964
_1_m21	283.813
_1_m22	279.941
_1_m23	300.346
_1_m24	291.276
_1_m25	262.899
_1_m26	275.778
_1_m27	276.42
_1_m28	280.518
_1_m29	286.621

