Species,LogBody,LogBrain,LogNeo,Habitat,Diet,SocialCode
Bos grunniens,5.4,2.52,2.33,open,Grazer,Harem/Seasonal
Syncerus caffer,5.88,2.78,NA,mixed,Grazer,Large mixed
Tragelaphus scriptus,4.45,2.16,NA,mixed,Browser,solitary
Tragelaphus spekii,4.69,2.2,NA,closed,Grazer/Browser,Harem/Seasonal
Tragelaphus imberbis,5.16,2.34,NA,closed,Grazer/Browser,Harem/Seasonal
Tragelaphus strepsiceros,5.24,2.53,NA,open,Grazer/Browser,Harem/Seasonal
Taurotragus oryx,5.7,2.69,NA,open,Grazer/Browser,Large mixed
Oreotragus oreotragus,4.11,1.78,1.04,open,Browser/Frugivore,monogamous
Madoqua kirki,3.66,1.54,0.9,mixed,Browser,monogamous
Neotragus moschatus,3.51,1.51,0.86,open,Browser,monogamous
Raphicerus camptestris,4.04,1.69,0.99,mixed,Browser,solitary
Raphicerus melanotis,4,1.74,1.01,mixed,Browser,monogamous
Ourebia ourebia,4.17,1.76,1.03,open,Grazer,Harem/Seasonal
Gazella dorcas,4.18,1.82,1.09,open,Browser,Harem/Seasonal
Gazella granti,4.76,2.2,NA,open,Browser,Harem/Seasonal
Gazella thomsoni,4.29,1.94,1.22,open,Grazer,Harem/Seasonal
Antidorcas marsupialis,4.55,2.13,NA,open,Browser,Large mixed
Antilope cervicapra,4.38,2,1.8,open,Grazer,Harem/Seasonal
Litocranius walleri,4.61,2.09,1.48,mixed,Browser,Harem/Seasonal
Kobus leche,5.09,2.35,NA,open,Grazer,Harem/Seasonal
Kobus defassa,5.36,2.5,NA,open,Grazer,Harem/Seasonal
Kobus kob,5.02,2.31,NA,open,Grazer,Harem/Seasonal
Redunca fulvorufula,4.49,2.04,NA,open,Grazer,Harem/Seasonal
Redunca arundinum,4.79,2.14,NA,open,Grazer,Harem/Seasonal
Redunca redunca,4.68,2.09,NA,open,Grazer,Harem/Seasonal
Cephalophus natalensis,4.1,1.92,1.14,closed,Browser/Frugivore,monogamous
Cephalophus nigrifrons,4.14,1.93,1.16,closed,Browser/Frugivore,monogamous
Sylvicapra grimmia,4.08,1.88,1.12,closed,Browser,monogamous
Cephalophus monticola,3.75,1.68,0.97,closed,Browser/Frugivore,monogamous
Cephalophus zebra,4,1.92,1.15,closed,Browser/Frugivore,monogamous
Cephalophus leucogaster,4.11,1.97,NA,closed,Browser/Frugivore,monogamous
Cephalophus sylvicultor,4.65,2.23,1.4,closed,Browser/Frugivore,monogamous
Oryx gazella,5.11,2.44,NA,open,Grazer,Harem/Seasonal
Oryx beisa,5.24,2.45,2.24,open,Grazer,Large mixed
Hippotragus niger,5.21,2.45,NA,open,Grazer,Harem/Seasonal
Hippotragus equinus,5.38,2.59,NA,open,Grazer,Harem/Seasonal
Damaliscus lunatus,5.1,2.46,NA,open,Grazer,Harem/Seasonal
Alcelaphus buselaphus,5.19,2.47,NA,open,Grazer,Harem/Seasonal
Sigmoceros lichtensteini,5.22,2.55,NA,open,Grazer,Harem/Seasonal
Connochaetes taurinus,5.2,2.56,NA,open,Grazer,Harem/Seasonal
Hemitragus jemlahicus,4.85,2.22,2.03,open,Grazer/Browser,Harem/Seasonal
Ammotragus lervia,4.88,2.32,2.15,open,Grazer/Browser,monogamous
Rupicapra rupicapra,4.65,2.2,2.02,open,Grazer/Browser,Harem/Seasonal
Aepyceros melampus,4.77,2.25,NA,open,Grazer/Browser,Harem/Seasonal
Hydropotes,4.05,1.72,NA,open,Browser,solitary
Capreolus,4.23,2,NA,mixed,Browser,Harem/Seasonal
Alces,5.3,2.64,NA,closed,Browser,solitary
Odocoileus,4.62,2.16,NA,mixed,Browser,Large mixed
Mazama,3.54,1.75,NA,closed,Browser,solitary
Rangifer tarandus,4.98,2.43,NA,open,Grazer/Browser,Large mixed
Cervus nippon,4.66,2.3,2.1,mixed,Grazer/Browser,monogamous
Cervus elaphus,4.96,2.49,2.41,open,Browser,Harem/Seasonal
Dama dama,4.75,2.33,2.13,mixed,Grazer/Browser,Harem/Seasonal
Muntiacus,4.18,2.09,NA,closed,Browser,solitary
Giraffa camelopardalis,5.76,2.85,2.71,open,Browser,Harem/Seasonal
Okapia,5.38,2.7,2.55,closed,Browser,monogamous
Antilocapra,4.38,2.22,NA,open,Browser,Harem/Seasonal
Hyemoschus aquaticus,4.03,1.4,0.71,closed,Browser/Frugivore,solitary
Tragulus javanicus,3.48,1.16,0.93,closed,Browser/Frugivore,solitary
Tragulus meminna,3.34,1.25,0.63,closed,Browser/Frugivore,solitary
Choeropsis,4.91,2.33,NA,closed,Grazer/Browser,monogamous
Hippopotamus,6.29,2.76,NA,open,Grazer,Large mixed
Camelus bactrianus,5.6,2.76,2.58,open,Grazer/Browser,Large mixed
Babyrousa babyrousa,4.89,2.1,NA,open,Omnivore,Large mixed
Hylochoerus,5.3,2.15,NA,open,Grazer,Large mixed
Potomochoerus porcus,4.88,2.14,NA,open,Omnivore,Harem/Seasonal
Phacochoerus aethiopicus,4.84,2.12,NA,open,Grazer,Harem/Seasonal
Sus scrofa,4.83,2.26,2.05,mixed,Omnivore,Large mixed
